
Losowy -> Wr: 1 | Rd: 1 | Din: 0xd5 | Dout: 0x51 | Wr_Ptr: 0xf (wrap:1) | Rd_Ptr: 0x0 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0x5b | Dout: 0x56 | Wr_Ptr: 0x5 (wrap:0) | Rd_Ptr: 0x5 (wrap:1) | Count: 16 | Full: 1 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0xd0 | Dout: 0x57 | Wr_Ptr: 0x5 (wrap:0) | Rd_Ptr: 0x6 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0x96 | Dout: 0x58 | Wr_Ptr: 0x6 (wrap:0) | Rd_Ptr: 0x7 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0xc8 | Dout: 0x58 | Wr_Ptr: 0x6 (wrap:0) | Rd_Ptr: 0x7 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0x12 | Dout: 0x59 | Wr_Ptr: 0x7 (wrap:0) | Rd_Ptr: 0x8 (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 1 | Din: 0x39 | Dout: 0x8d | Wr_Ptr: 0x7 (wrap:0) | Rd_Ptr: 0x9 (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0x85 | Dout: 0x01 | Wr_Ptr: 0x8 (wrap:0) | Rd_Ptr: 0xa (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 1 | Din: 0x49 | Dout: 0x12 | Wr_Ptr: 0x8 (wrap:0) | Rd_Ptr: 0xb (wrap:1) | Count: 13 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0x58 | Dout: 0x12 | Wr_Ptr: 0x9 (wrap:0) | Rd_Ptr: 0xb (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0x9c | Dout: 0x12 | Wr_Ptr: 0x9 (wrap:0) | Rd_Ptr: 0xb (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0x73 | Dout: 0x12 | Wr_Ptr: 0x9 (wrap:0) | Rd_Ptr: 0xb (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0xb3 | Dout: 0xce | Wr_Ptr: 0xa (wrap:0) | Rd_Ptr: 0xc (wrap:1) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0xf7 | Dout: 0xce | Wr_Ptr: 0xb (wrap:0) | Rd_Ptr: 0xc (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0x5a | Dout: 0xce | Wr_Ptr: 0xc (wrap:0) | Rd_Ptr: 0xc (wrap:1) | Count: 16 | Full: 1 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0xda | Dout: 0x65 | Wr_Ptr: 0xc (wrap:0) | Rd_Ptr: 0xd (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0xdf | Dout: 0x80 | Wr_Ptr: 0xd (wrap:0) | Rd_Ptr: 0xe (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0xd0 | Dout: 0x80 | Wr_Ptr: 0xe (wrap:0) | Rd_Ptr: 0xe (wrap:1) | Count: 16 | Full: 1 | Empty: 0
Losowy -> Wr: 0 | Rd: 1 | Din: 0x0e | Dout: 0xd5 | Wr_Ptr: 0xe (wrap:0) | Rd_Ptr: 0xf (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 0 | Din: 0xfd | Dout: 0xd5 | Wr_Ptr: 0xe (wrap:0) | Rd_Ptr: 0xf (wrap:1) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0x4e | Dout: 0xd5 | Wr_Ptr: 0xf (wrap:0) | Rd_Ptr: 0xf (wrap:1) | Count: 16 | Full: 1 | Empty: 0
Losowy -> Wr: 1 | Rd: 0 | Din: 0xb6 | Dout: 0xd5 | Wr_Ptr: 0xf (wrap:0) | Rd_Ptr: 0xf (wrap:1) | Count: 16 | Full: 1 | Empty: 0
Losowy -> Wr: 0 | Rd: 1 | Din: 0xb8 | Dout: 0x0a | Wr_Ptr: 0xf (wrap:0) | Rd_Ptr: 0x0 (wrap:0) | Count: 15 | Full: 0 | Empty: 0
Losowy -> Wr: 0 | Rd: 1 | Din: 0x04 | Dout: 0x4f | Wr_Ptr: 0xf (wrap:0) | Rd_Ptr: 0x1 (wrap:0) | Count: 14 | Full: 0 | Empty: 0
Losowy -> Wr: 1 | Rd: 1 | Din: 0x4d | Dout: 0x7e | Wr_Ptr: 0x0 (wrap:1) | Rd_Ptr: 0x2 (wrap:0) | Count: 14 | Full: 0 | Empty: 0
